fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
100,150,1,0.6,1.5,344.0,39.24418604651162,-48.01156010119679,0.6331068639965293,-13.956848866626933,-7.234514467991834,-6.776966684946453,51.65254897416768,344.0,0.0,5198.843989880321
20,150,5,0.6,2.0,307.0,30.618892508143325,-50.3649618200791,0.6120405891273728,-16.405525022827074,-7.288502117135956,-7.06609662120732,55.51500390968231,307.0,0.0,4963.503817992089
50,200,1,0.6,2.0,289.0,30.103806228373703,-49.689543138220415,0.6007949107903704,-17.193613542636818,-7.370633922520697,-6.997184099044866,53.31741116911351,289.0,0.0,5031.0456861779585
20,200,3,0.6,1.5,377.0,39.787798408488065,-49.64093850683874,0.6519230518060671,-13.167357694121677,-7.5089177388441035,-7.174998637248889,55.31170272279577,377.0,0.0,5035.906149316126
20,200,5,0.6,1.5,371.0,39.62264150943396,-49.550144324978575,0.6476030990692493,-13.355834049859451,-7.5397329982515835,-7.193269871469918,55.23113056213447,371.0,0.0,5044.985567502143
20,200,1,0.6,2.0,325.0,30.461538461538463,-52.86135458056748,0.6106414412746229,-16.26503217863615,-7.6312138568035754,-7.480690028329715,57.042152687663126,325.0,0.0,4713.864541943252
20,150,1,0.6,2.0,342.0,30.701754385964914,-54.002856709146904,0.6178019302585547,-15.790308979282663,-7.649127193592042,-7.5695132043562,58.41759128173132,342.0,0.0,4599.71432908531
50,150,1,0.4,3.0,380.0,24.47368421052632,-50.96823543820954,0.6087875796366954,-13.41269353637097,-7.8843664725856,-7.396641801103767,53.98282660856937,380.0,0.0,4903.176456179046
20,150,3,0.6,1.5,388.0,39.175257731958766,-52.37220053502606,0.6301110983118393,-13.497989828614989,-7.965486379072884,-7.6808986155198165,57.40466382417077,388.0,0.0,4762.779946497394
50,200,1,0.4,3.0,365.0,24.10958904109589,-50.64990462777398,0.5952640085799085,-13.876686199390129,-8.059889376751197,-7.429812195752612,54.27734628772265,365.0,0.0,4935.009537222602
20,150,1,0.6,1.5,417.0,39.328537170263786,-54.56108927196928,0.6365973085076382,-13.084194070016615,-8.059954437824329,-7.9312701703659165,58.68869691533936,417.0,0.0,4543.891072803072
20,200,5,0.4,3.0,382.0,24.345549738219894,-51.5056184220567,0.6064492980626294,-13.48314618378442,-8.062653723723521,-7.563082788344213,55.47667416503117,382.0,0.0,4849.43815779433
20,150,5,0.6,1.5,381.0,38.84514435695538,-52.62841545457595,0.621550296248058,-13.81323240277584,-8.074360983627676,-7.762990610785507,57.63380554091242,381.0,0.0,4737.158454542405
20,200,3,0.4,3.0,387.0,24.289405684754524,-52.13044785378993,0.605440202741804,-13.470399962219677,-8.149406055798135,-7.6794652620789146,55.795347147602406,387.0,0.0,4786.955214621006
50,200,1,0.6,1.5,352.0,38.06818181818182,-51.90705875993207,0.6062760198582141,-14.746323511344348,-8.199038804732067,-7.585211017794835,55.7706690366496,352.0,0.0,4809.294124006793
20,200,1,0.6,1.5,409.0,39.119804400978,-54.46213282611564,0.6322248671172361,-13.31592489636076,-8.26781201750888,-8.011896109266258,58.26501053570311,409.0,0.0,4553.786717388436
100,150,3,0.4,2.0,311.0,33.762057877813504,-41.62291567756448,0.5746275473410002,-13.383574172850283,-8.293765919890738,-6.1594549297419166,42.76203824706117,311.0,0.0,5837.708432243552
100,150,5,0.4,2.0,290.0,32.758620689655174,-41.53016334200359,0.5473128170998642,-14.320745980001231,-8.653575228410249,-6.312731159638545,42.67109580454371,290.0,0.0,5846.983665799641
100,200,5,0.4,2.0,318.0,33.33333333333333,-43.261900066004586,0.563443723333231,-13.604371089938576,-8.711324379441598,-6.483267655399414,45.231028391087214,318.0,0.0,5673.809993399541
50,200,5,0.4,2.0,384.0,33.85416666666667,-48.34160097191605,0.579805667165192,-12.588958586436474,-8.794584227075,-7.255780194865878,50.73391817564751,384.0,0.0,5165.839902808395
100,200,3,0.4,2.0,334.0,33.23353293413174,-45.082469023428715,0.5604862104389854,-13.497745216595428,-8.938149643882207,-6.660237370098704,46.98841297248724,334.0,0.0,5491.753097657128
50,200,3,0.4,2.0,397.0,33.75314861460957,-49.7297177145015,0.5777604105526303,-12.526377258060796,-9.137140590833921,-7.583860541742028,52.3541868951373,397.0,0.0,5027.02822854985
20,150,3,0.4,3.0,409.0,23.4718826405868,-56.48281547386571,0.5777911924852551,-13.809979333463485,-9.138819374268273,-8.590018652867688,58.594400128752454,409.0,0.0,4351.718452613429
20,150,1,0.4,3.0,448.0,23.660714285714285,-59.299769045280605,0.5891159425974011,-13.236555590464409,-9.289327065219238,-8.993753137447655,61.449806944271245,448.0,0.0,4070.0230954719405
50,150,5,0.4,2.0,388.0,33.24742268041237,-50.12471644376133,0.5667283589396683,-12.91874135148487,-9.300529259403222,-7.729688817171379,52.158052536114006,388.0,0.0,4987.528355623867
20,200,1,0.4,3.0,434.0,23.502304147465438,-58.60358550951008,0.5792933594194185,-13.503130301730469,-9.399567332417242,-8.994692527124402,60.56962935376582,434.0,0.0,4139.6414490489915
20,150,5,0.4,3.0,410.0,23.170731707317074,-57.41769425016289,0.5662247882062831,-14.004315670771415,-9.430033745317402,-8.794657977550457,59.70134242810652,410.0,0.0,4258.230574983711
50,150,3,0.4,2.0,401.0,32.66832917705736,-52.61457518673285,0.5517070786621566,-13.120841692452112,-9.86304055585746,-8.282684450415418,54.289554125744175,401.0,0.0,4738.5424813267155
100,200,1,0.4,2.0,442.0,33.03167420814479,-55.298320813372584,0.562873368786325,-12.510932310717779,-10.28661120111874,-8.562105755227828,56.47048677807965,442.0,0.0,4470.167918662742
100,150,5,0.4,1.5,317.0,38.170347003154575,-46.29623415508025,0.4716405172566006,-14.604490269741458,-10.784207695614194,-7.488503370273041,46.95919602897311,317.0,0.0,5370.376584491974
100,150,3,0.4,1.5,342.0,38.59649122807017,-48.122844579980004,0.48275491656584474,-14.071007187128695,-10.835252889217893,-7.644348386502845,48.766000490033825,342.0,0.0,5187.715542002
